date_base,date_pred,iiindex_base,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing0,std
2019-08-29,2019-08-30,254.2,256.20001525878905,255.6384593963623,2.0000152587890625,1.4384593963623047,3.500178566873402
2019-08-30,2019-09-02,259.15,258.1000122070312,259.0655600145459,1.04998779296875,-0.08443998545408249,0.14142135623734164
2019-09-02,2019-09-03,259.35,258.1499877929688,258.81348834037783,1.20001220703125,-0.5365116596221924,0.9899494936611907
2019-09-03,2019-09-04,257.95,257.84999389648436,257.61518545150756,0.100006103515625,-0.33481454849243164,2.7930717856868545
2019-09-04,2019-09-05,261.9,262.29999389648435,261.5847942769527,-0.399993896484375,-0.31520572304725647,1.979898987322341
2019-09-05,2019-09-06,264.7,265.7999755859375,265.11826367378234,1.0999755859375,0.41826367378234863,0.7424621202458829
2019-09-06,2019-09-09,265.75,266.29998779296875,265.65656580775976,-0.54998779296875,-0.09343419224023819,1.3435028842544243
2019-09-09,2019-09-10,267.65,267.8500122070312,267.76029481142757,0.20001220703125,0.11029481142759323,0.8131727983645538
2019-09-10,2019-09-11,268.8,270.3,268.9084822267294,1.5,0.108482226729393,1.7677669529663689
2019-09-11,2019-09-12,271.3,270.2000244140625,271.3147309713066,-1.0999755859375,0.014730971306562424,0.07071067811867082
2019-09-12,2019-09-13,271.2,270.2,271.42527930140494,-1.0,0.225279301404953,0.0
2019-09-13,2019-09-16,271.2,271.99998779296874,271.368666601181,0.79998779296875,0.16866660118103027,0.6010407640085815
2019-09-16,2019-09-17,272.05,,272.77704273462297,,0.7270427346229553,
accuracy, down accuracy, acc with interval
0.6153846153846154,0.5,0.5384615384615384
 ensemble, gradual, RRL, kelly, time steps, interval, layers, hidden_size, batch_size, iteration
False,False-260,1,0,20,1,2,500,20,500-300
 avg_profit, avg_loss,  avg_index, max_profit, max_loss, kelly
0.9937496185302734,-0.7624893188476562,265.0153846153846,2.0000152587890625,-1.0999755859375,111.3166906909705